AKT;Agder kollektivtrafikk
ATB;AtB (Trøndelag)
ASH;Arctic Sea Hotel & Apartments
AVI;Avinor
BNR;Bane NOR
BEF;Beffen
BOR;Boreal
BSR;Bussring
BRA;Brakar (Buskerud)
NYC;Bygdøyfergen
COL;Color Line
TEL;Farte (Telemark)
FJT;Fjord Tours
FLI;Flixbus
FLT;Flytoget
FTR;Flåm Travel
FLB;Flåmsbana
OSC;Forsvarsbygg (Oscarsborgfergen)
MOR;Fram (Møre og Romsdal)
GFS;Geiranger Fjordservice
GLO;GlobeOrbit100
GOA;Go Ahead
GOF;Go Fjords
HAF;Hafjell Alpinsenter
HAV;Havila
HUR;Hurtigruten
HOG;Høgsfjordferja
INN;Innlandet
KOL;Kolumbus (Rogaland)
SOF;Kringom (Sogn og Fjordane)
OIS;MF Øisang
NWY;NOR-WAY Bussekspress
NOR;Nordland fylkeskommune
NBU;Connect Bus Flybuss
NIA;Norsk industrianlegg
VIP;Oslo VIP Transporttjenester
RUT;Ruter (Oslo & Akershus)
SJV;SJ
SJN;SJ NORD
SKY;Skyss (Hordaland)
FIN;Snelandia (Finnmark)
STB;Stadbussen
TID;Tide
TRO;Troms fylkestrafikk
TTS;Torghatten
ULR;Ulriken
UNI;Unibuss
VOT;Vestfold og Telemark
VIL;Visit Lillehammer
VKT;VKT (Vestfold)
VOG;Voss Gondol
NSB;Vy (formerly NSB)*
GJB;Vy (formerly NSB) Gjøvikbanen*
VYG;Vy-group **
VYB;Vy Buss AB
VYX;Vy Buss AS
OST;Østfold kollektivtrafikk
ATU;Ålesund Turvogn Service
